Follow ArmA 2 RCon on twitter or facebook in order to stay up to date!
http://twitter.com/solicus
http://www.facebook.com/solicusoftware
Thanks. :)
Connected to 94.242.227.218:2362
(2012-12-02 | 16:02:21) : RCon admin #2 (90.210.114.162:62364) logged in
Version: 1.169
MaxPing: 600
(2012-12-02 | 16:02:25) : CreateVehicle Log: #9 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_worker2" 301:20 [6790,2345,6]
(2012-12-02 | 16:02:25) : CreateVehicle Log: #9 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_worker2" 301:22 [6757,2333,5]
(2012-12-02 | 16:02:25) : Player #13 Jenny (93.95.146.204:2304) connected
(2012-12-02 | 16:02:25) : Player #13 Jenny - GUID: 97241f970642551ae31286320480176d (unverified)
(2012-12-02 | 16:02:26) : Verified GUID (97241f970642551ae31286320480176d) of player #13 Jenny
(2012-12-02 | 16:02:27) : CreateVehicle Log: #9 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_hunter" 301:24 [6790,2623,6]
(2012-12-02 | 16:02:27) : CreateVehicle Log: #9 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_villager2" 301:26 [6808,2581,6]
[Server is not responding. Please reconnect.]
[Reconnecting...]
Connected to 94.242.227.218:2362
(2012-12-02 | 16:02:32) : RCon admin #3 (90.210.114.162:62365) logged in
Version: 1.169
MaxPing: 600
[Received missions.]
(2012-12-02 | 16:02:37) : CreateVehicle Log: #7 Delta Ryan  (a3575c43be955450004883874c6ee93a) - #62 "Goat" 299:8 [1315,5754,151]
(2012-12-02 | 16:02:40) : CreateVehicle Log: #2 Rauk (6bb6425af2586ff998976a0b22fe6964) - #62 "z_teacher" 244:404 [4611,6730,267]
(2012-12-02 | 16:02:41) : CreateVehicle Log: #2 Rauk (6bb6425af2586ff998976a0b22fe6964) - #62 "z_teacher" 244:406 [4612,6803,284]
(2012-12-02 | 16:02:43) : CreateVehicle Log: #9 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_teacher" 301:28 [6847,2639,6]
(2012-12-02 | 16:02:43) : CreateVehicle Log: #9 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_teacher" 301:30 [6805,2598,6]
(2012-12-02 | 16:02:44) : CreateVehicle Log: #9 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_villager2" 301:32 [6831,2298,4]
(2012-12-02 | 16:02:44) : CreateVehicle Log: #9 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_teacher" 301:34 [6860,2298,6]
(2012-12-02 | 16:02:45) : CreateVehicle Log: #9 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_villager1" 301:36 [6849,2423,6]
(2012-12-02 | 16:02:45) : CreateVehicle Log: #9 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_villager1" 301:38 [6827,2428,6]
(2012-12-02 | 16:02:49) : CreateVehicle Log: #13 Jenny (97241f970642551ae31286320480176d) - #62 "WeaponHolder" 308:2 [-18639,25826,375]
(2012-12-02 | 16:02:49) : CreateVehicle Log: #13 Jenny (97241f970642551ae31286320480176d) - #62 "Survivor2_DZ" 308:5 [0,0,0]
(2012-12-02 | 16:02:49) : CreateVehicle Log: #13 Jenny (97241f970642551ae31286320480176d) - #62 "DZ_CivilBackpack_EP1" 308:7 [0,0,0]
(2012-12-02 | 16:02:50) : CreateVehicle Log: #9 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_villager2" 301:40 [6869,2590,6]
(2012-12-02 | 16:02:50) : CreateVehicle Log: #9 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_hunter" 301:42 [6831,2564,6]
(2012-12-02 | 16:02:54) : CreateVehicle Log: #2 Rauk (6bb6425af2586ff998976a0b22fe6964) - #62 "z_villager1" 244:408 [4625,6841,280]
(2012-12-02 | 16:02:54) : CreateVehicle Log: #2 Rauk (6bb6425af2586ff998976a0b22fe6964) - #62 "z_villager2" 244:410 [4632,6868,280]
(2012-12-02 | 16:03:00) : CreateVehicle Log: #9 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "zZombie_Base" 301:44 [6950,2430,6]
(2012-12-02 | 16:03:00) : CreateVehicle Log: #9 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "zZombie_Base" 301:46 [6919,2440,6]
(2012-12-02 | 16:03:01) : CreateVehicle Log: #2 Rauk (6bb6425af2586ff998976a0b22fe6964) - #62 "WildBoar" 244:412 [5025,6609,249]
(2012-12-02 | 16:03:01) : CreateVehicle Log: #1 BNS | Alex (b75b6c6263b8cff0779254c424733932) - #62 "WeaponHolder" 285:19 [13782,2904,43]
(2012-12-02 | 16:03:02) : CreateVehicle Log: #3 Bishops Finger (b546ebf1302742d8c4273002d9e7f0fa) - #62 "WeaponHolder" 202:976 [-18688,25929,377]
(2012-12-02 | 16:03:02) : CreateVehicle Log: #3 Bishops Finger (b546ebf1302742d8c4273002d9e7f0fa) - #62 "Camo1_DZ" 202:979 [0,0,0]
(2012-12-02 | 16:03:02) : CreateVehicle Log: #3 Bishops Finger (b546ebf1302742d8c4273002d9e7f0fa) - #62 "DZ_CivilBackpack_EP1" 202:981 [0,0,0]
(2012-12-02 | 16:03:03) : CreateVehicle Log: #9 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "zZombie_Base" 301:48 [6932,2542,6]
(2012-12-02 | 16:03:03) : CreateVehicle Log: #9 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_villager2" 301:50 [6933,2512,6]
(2012-12-02 | 16:03:04) : Player #15 SET_CAT disconnected
(2012-12-02 | 16:03:04) : CreateVehicle Log: #9 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_hunter" 301:52 [6933,2621,6]
(2012-12-02 | 16:03:04) : CreateVehicle Log: #9 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_villager1" 301:54 [6932,2633,6]
(2012-12-02 | 16:03:05) : CreateVehicle Log: #9 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_villager1" 301:56 [6927,2680,15]
(2012-12-02 | 16:03:05) : CreateVehicle Log: #9 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_villager1" 301:58 [6890,2696,6]
(2012-12-02 | 16:03:05) : CreateVehicle Log: #2 Rauk (6bb6425af2586ff998976a0b22fe6964) - #62 "zZombie_Base" 244:414 [4640,6857,279]
(2012-12-02 | 16:03:05) : CreateVehicle Log: #2 Rauk (6bb6425af2586ff998976a0b22fe6964) - #62 "z_teacher" 244:416 [4680,6832,274]
(2012-12-02 | 16:03:06) : CreateVehicle Log: #9 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "zZombie_Base" 301:60 [6942,2342,6]
(2012-12-02 | 16:03:06) : CreateVehicle Log: #9 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_teacher" 301:62 [6968,2347,6]
(2012-12-02 | 16:03:07) : CreateVehicle Log: #10 NWind (15700da141ea25ee79ec1d25571f799c) - #62 "Rabbit" 274:332 [11200,8262,265]
(2012-12-02 | 16:03:11) : CreateVehicle Log: #9 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_villager2" 301:64 [6979,2359,6]
(2012-12-02 | 16:03:11) : CreateVehicle Log: #9 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_teacher" 301:66 [6973,2380,6]
(2012-12-02 | 16:03:11) : CreateVehicle Log: #9 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_suit1" 301:68 [7014,2399,6]
(2012-12-02 | 16:03:12) : CreateVehicle Log: #9 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_hunter" 301:70 [7000,2498,12]
(2012-12-02 | 16:03:12) : CreateVehicle Log: #9 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_villager2" 301:72 [6951,2462,14]
(2012-12-02 | 16:03:15) : CreateVehicle Log: #2 Rauk (6bb6425af2586ff998976a0b22fe6964) - #62 "z_villager3" 244:418 [4684,6860,274]
(2012-12-02 | 16:03:15) : CreateVehicle Log: #2 Rauk (6bb6425af2586ff998976a0b22fe6964) - #62 "z_villager2" 244:420 [4695,6850,273]
(2012-12-02 | 16:03:16) : CreateVehicle Log: #9 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_villager1" 301:74 [7004,2586,6]
(2012-12-02 | 16:03:16) : CreateVehicle Log: #9 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_villager2" 301:76 [7012,2628,5]
(2012-12-02 | 16:03:17) : CreateVehicle Log: #9 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_worker2" 301:78 [7080,2441,0]
(2012-12-02 | 16:03:17) : CreateVehicle Log: #9 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_worker1" 301:80 [7031,2401,6]
(2012-12-02 | 16:03:18) : Player #4 Pharazon disconnected
(2012-12-02 | 16:03:19) : CreateVehicle Log: #13 Jenny (97241f970642551ae31286320480176d) - #62 "WeaponHolder" 308:8 [11476,11381,318]
(2012-12-02 | 16:03:20) : CreateVehicle Log: #9 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_worker2" 301:82 [7080,2475,0]
(2012-12-02 | 16:03:20) : CreateVehicle Log: #9 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_worker3" 301:84 [7080,2473,0]
(2012-12-02 | 16:03:22) : Player #14 yinchance disconnected
(2012-12-02 | 16:03:22) : CreateVehicle Log: #3 Bishops Finger (b546ebf1302742d8c4273002d9e7f0fa) - #62 "WeaponHolder" 202:982 [2343,10666,275]
(2012-12-02 | 16:03:23) : CreateVehicle Log: #7 Delta Ryan  (a3575c43be955450004883874c6ee93a) - #62 "WeaponHolder" 299:10 [1116,5074,118]
(2012-12-02 | 16:03:23) : CreateVehicle Log: #9 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "WeaponHolder" 301:86 [6904,2491,10]
(2012-12-02 | 16:03:24) : CreateVehicle Log: #9 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_hunter" 301:87 [6725,2398,6]
(2012-12-02 | 16:03:24) : CreateVehicle Log: #9 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_villager2" 301:89 [6737,2436,6]
(2012-12-02 | 16:03:27) : CreateVehicle Log: #2 Rauk (6bb6425af2586ff998976a0b22fe6964) - #62 "z_hunter" 244:422 [4757,6864,274]
(2012-12-02 | 16:03:27) : CreateVehicle Log: #2 Rauk (6bb6425af2586ff998976a0b22fe6964) - #62 "z_villager1" 244:424 [4734,6882,277]
(2012-12-02 | 16:03:29) : Player #9 Si disconnected
(2012-12-02 | 16:03:30) : CreateVehicle Log: #7 Delta Ryan  (a3575c43be955450004883874c6ee93a) - #62 "WeaponHolder" 299:11 [1116,5074,118]
(2012-12-02 | 16:03:36) : Player #7 Delta Ryan  disconnected
(2012-12-02 | 16:03:36) : Player #1 BNS | Alex disconnected
